col_value,cnt
Moscow,62
Chelyabinsk,7
Khabarovsk,6
Saint Petersburg,6
Omsk,5
Perm,5
Saratov,5
Rostov-on-Don,4
Samara,4
Tver,4
Voronezh,4
Yekaterinburgh,4
Kostroma,3
Krasnodar,3
Murmansk,3
Nizhny Novgorod,3
Orenburg,3
Pavlovsky Posad,3
Penza,3
Ryazan,3
Tula,3
Belgorod,2
Ivanovo,2
Kazan,2
Kemerovo,2
Kovrov,2
Krasnoyarsk,2
Kurgan,2
Novosibirsk,2
Sochi,2
Surgut,2
Tomsk,2
Tyumen,2
Vladimir,2
Volgograd,2
Vologda,2
Yuzhno-Sakhalinsk,2
Abakan,1
Astrakhan,1
Barnaul,1
Cherepovets,1
Dolgoprudny,1
Gomel,1
Irkutsk,1
Istra,1
Khimki,1
Kirov,1
Krasnogorsk,1
Lyubertsy,1
Magadan,1
Maloyaroslavets,1
Mineralnye Vody,1
Minsk,1
Mogilev,1
Mytishchi,1
Naberezhnye Chelny,1
Nadym,1
Naro-Fominsk,1
Naryan-Mar,1
Neryungri,1
Nizhnevartovsk,1
Novokuznetsk,1
Novomoskovsk,1
Orekhovo-Zuyevo,1
Oryol,1
Pereslavl-Zalessky,1
Petropavlovsk-Kamchatsky,1
Petrozavodsk,1
Pyatigorsk,1
Ramenskoye,1
Serpukhov,1
Severodvinsk,1
Shakhovskaya,1
Smolensk,1
Syktyvkar,1
Tambov,1
Tobolsk,1
Tolyatti,1
Uglich,1
Ukhta,1
Ulyanovsk,1
Volgodonsk,1
Yakutsk,1
Yaroslavl,1
Zelenograd,1
Zernograd,1
Zheleznodorozhny,1
