col_value,cnt
46,781
31,116
32,115
4602,107
30,81
24,80
23,68
1,67
10,64
4643,56
21,52
4627,51
40,49
4619,48
34,47
4673,45
4607,41
25,40
86,37
4666,36
4685,36
93,35
77,34
41,32
4616,32
4628,32
52,32
4600,31
4642,30
4639,28
4649,28
946,27
29,26
98,25
4668,24
12,23
1028,22
33,22
4626,22
4636,22
61,22
35,20
4615,20
4638,19
64,19
46100,18
4656,18
4687,18
4606,17
4690,17
4695,17
60,17
67,17
11,16
452,16
4608,16
4681,16
171,15
4674,15
1006,14
4654,14
4667,14
4689,14
84,14
[NULL],13
1081,13
1206,13
174,13
4605,13
81,13
1085,12
17,12
22,12
4650,12
4683,12
91,12
4622,11
4675,11
55,11
92,11
1015,10
4601,10
4653,10
4665,10
89,10
97,10
1203,9
191,9
3099,9
441,9
442,9
62,9
78,9
79,9
1005,8
1208,8
1236,8
172,8
177,8
201,8
44,8
4604,8
4614,8
461514,8
462806,8
464712,8
4686,8
4691,8
56,8
6,8
68,8
7800,8
90,8
1215,7
20,7
26,7
4603,7
461814,7
4655,7
46901,7
46902,7
63,7
82,7
83,7
88,7
901,7
99,7
1050,6
1083,6
1084,6
1213,6
1250,6
1283,6
1771,6
1911,6
205,6
225,6
226,6
3104,6
42,6
461208,6
465542,6
466,6
466943,6
469042,6
50,6
509,6
65,6
66,6
87,6
902,6
94,6
1003,5
1011,5
173,5
1741,5
19,5
218,5
280,5
300,5
3101,5
3103,5
3106,5
36,5
411,5
425,5
462,5
462814,5
503,5
85,5
101,4
170,4
1711,4
179,4
185,4
186,4
188,4
190,4
192,4
199,4
204,4
207,4
3,4
3102,4
406,4
418,4
4205,4
426,4
46012,4
4618,4
46345,4
4641,4
4671,4
469542,4
550,4
76,4
782814,4
8004,4
0,3
12031,3
1205,3
12051,3
12061,3
1405,3
157,3
158,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
168,3
169,3
175,3
176,3
181,3
182,3
183,3
184,3
193,3
1931,3
195,3
200,3
202,3
219,3
220,3
221,3
222,3
223,3
224,3
227,3
228,3
229,3
252,3
3019,3
3105,3
331,3
356,3
404,3
405,3
407,3
408,3
410,3
420,3
4201,3
4203,3
4204,3
421,3
427,3
428,3
430,3
46061,3
46062,3
461002,3
469,3
502,3
528,3
529,3
551,3
78011,3
821,3
846,3
1058,2
108,2
15,2
159,2
16,2
167,2
208,2
216,2
250,2
360,2
403,2
412,2
414,2
415,2
4202,2
4206,2
422,2
424,2
43,2
46073,2
461,2
461001,2
461003,2
461004,2
46344,2
475,2
480,2
485,2
49,2
498,2
507,2
602,2
7706,2
7801,2
791,2
80,2
801,2
900,2
Any,2
1036,1
13,1
194,1
1941,1
203,1
211,1
213,1
302,1
306,1
307,1
313,1
352,1
357,1
362,1
367,1
409,1
416,1
423,1
4661,1
4669,1
481,1
496,1
51,1
512,1
515,1
531,1
532,1
533,1
7703,1
7803,1
808,1
998,1
