col_value,cnt
K,641
B,613
BX,298
S,273
AT,244
TB,185
EE,145
A,103
GB,78
ERK,77
SD,75
SLP,75
FF,66
TA,66
C,49
BS,47
PCL,45
ATL,36
IS,36
Z,36
W,35
U,33
AG,31
KH,30
BP,29
AT3K,28
ZF,28
TAB,24
BAD,22
G,22
AL,21
E,21
D,20
BAL,19
AF,18
AP,18
TBP,18
TIB,18
AT4K,17
O,17
TEE,17
AV,16
F,16
AK,15
EES,15
IAG,15
Y,15
N,13
AA,12
AN,12
AS,12
BB,12
KS,12
L,12
T,12
TIEE,12
TO,12
TAG,11
V,11
[NULL],10
KA,10
TEEP,10
TFF,10
AH,9
FAV,9
GS,9
H,9
ISAL,9
IT,9
M,9
R,9
TAL,9
TAS,9
TBAL,9
TE,9
EEV,8
TIA,8
THB,7
TV,7
AR,6
SALS,6
TAF,6
TEEB,6
TS,6
TBA,5
TD,5
BA,4
FAN,4
LL,4
TDDV,4
TTEE,4
ERS,3
P,3
SF,3
SKD,3
TAH,3
TLL,3
TT,3
X,3
Any,2
BKAMP,2
SUT,2
TH,2
TTDD,2
TANGA KAMP,1
TTB,1
