customer_id,customer_name,region,country,price_category,customer_class,lead_source,discontinued
1,C1,Moscow,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
2,C2,Moscow,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
3,C3,Moscow,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,1
4,C4,Moscow,Russian Federation,4,Large-Scale Wholesaler-1,Referral by the Central Office,1
5,C5,Moscow,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
6,C6,Moscow,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
7,C7,Moscow,Russian Federation,1,Consumer,Other,1
8,C8,Moscow,Russian Federation,5,Consumer,Other,1
9,C9,Moscow,Russian Federation,5,Retailer,Other,1
10,C10,Perm,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,1
11,C11,Pereslavl-Zalessky,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,1
12,C12,Moscow,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,1
13,C13,Perm,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
14,C14,Moscow,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
15,C15,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
16,C16,Zelenograd,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
17,C17,Voronezh,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
18,C18,Moscow,Russian Federation,2,Large-Scale Wholesaler-1,Referral by the Central Office,0
19,C19,Moscow,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
20,C20,Samara,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
21,C21,Moscow,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
22,C22,Moscow,Russian Federation,2,Large-Scale Wholesaler-2,Referral by the Central Office,0
23,C23,Moscow,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,1
24,C24,Yekaterinburgh,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
25,C25,Nizhny Novgorod,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
26,C26,Moscow,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
28,C27,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
29,C28,Orekhovo-Zuyevo,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
31,C29,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
32,C30,Moscow,Russian Federation,7,Consumer,Other,1
33,C31,Mogilev,Belarus,5,Retailer,Referral by the Central Office,0
34,C32,Voronezh,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
35,C33,Omsk,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
36,C34,Moscow,Russian Federation,1,Large-Scale Wholesaler-1,Other,1
37,C35,Moscow,Russian Federation,5,Retailer,Other,1
38,C36,Moscow,Russian Federation,5,Retailer,Other,0
39,C37,Serpukhov,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
40,C38,Moscow,Russian Federation,2,Large-Scale Wholesaler-2,Referral by the Central Office,0
41,C39,Khabarovsk,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
42,C40,Murmansk,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
43,C41,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
44,C42,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
45,C43,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
47,C44,Sochi,Russian Federation,2,Large-Scale Wholesaler-2,Referral by the Central Office,0
48,C45,Tver,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
50,C46,Murmansk,Russian Federation,7,Retailer,Advertisement in National Wholesale Magazine,1
51,C47,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
52,C48,Tver,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
53,C49,Omsk,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
54,C50,Ulyanovsk,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,1
55,C51,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
56,C52,Surgut,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
57,C53,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
58,C54,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
59,C55,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
60,C56,Kirov,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
61,C57,Moscow,Russian Federation,5,Retailer,Other,1
62,C58,Severodvinsk,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
63,C59,Surgut,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
64,C60,Chelyabinsk,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
66,C61,Moscow,Russian Federation,6,Branch,Other,1
67,C62,Moscow,Russian Federation,2,Large-Scale Wholesaler-1,Sales Calls or Visits,0
68,C63,Krasnogorsk,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
69,C64,Orenburg,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
71,C65,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
72,C66,Novomoskovsk,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
73,C67,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
74,C68,Yuzhno-Sakhalinsk,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
