order_detail_id,order_id,product_id,quantity_sold,unit_sales_price
2,2,955,5,7.5
3,2,958,5,8.5
5,2,959,5,8.5
6,4,72,50,3.0
7,4,9,50,3.2
8,2,715,30,4.7
9,2,421,10,5.1
10,2,419,10,4.8
11,2,34,10,2.9
12,2,35,20,3.1
13,2,88,20,2.9
14,2,19,10,3.3
15,2,16,10,3.2
16,2,23,10,2.7
17,4,427,50,4.1
18,4,968,30,5.3
19,4,806,50,4.8
20,4,183,50,4.5
21,4,60,10,3.2
22,4,57,10,2.5
23,4,19,10,3.3
24,4,16,10,3.2
25,4,82,10,2.7
26,5,1009,10,6.6
27,5,1006,10,6.2
28,5,999,10,5.1
29,5,996,10,6.4
30,5,1000,10,5.3
31,5,994,10,6.1
32,5,914,20,4.2
33,5,927,20,5.1
34,5,43,20,2.6
35,5,17,10,2.9
36,5,18,20,3.2
37,5,19,20,3.3
38,5,16,20,3.2
39,5,685,10,4.7
40,5,314,15,3.3
41,5,683,10,4.1
42,5,419,10,4.8
43,5,564,5,3.4
44,5,566,5,3.3
45,5,565,5,3.5
46,5,968,30,5.3
47,5,806,50,4.8
48,5,183,40,4.5
49,5,427,50,4.1
50,5,678,50,3.8
51,5,9,50,3.2
52,5,72,30,3.0
53,5,52,30,2.7
54,6,963,5,7.2
55,6,941,10,6.0
56,6,908,5,5.3
57,6,43,10,2.6
58,6,989,10,5.9
59,6,35,20,3.1
60,6,862,10,5.6
61,6,996,10,6.4
62,7,261,10,5.1
63,7,260,10,4.4
64,7,862,10,5.6
65,7,28,20,2.9
66,7,694,10,2.9
67,7,504,10,4.1
68,7,710,10,4.2
69,7,941,10,6.0
70,7,906,20,5.3
71,7,813,20,4.6
72,7,989,20,5.9
73,7,1010,10,7.3
74,7,1009,10,6.6
75,7,689,10,5.1
76,7,707,20,3.8
77,7,183,30,4.5
78,7,427,20,4.1
79,7,52,50,2.7
80,7,72,30,3.0
81,7,955,5,7.5
82,7,956,5,7.3
83,8,963,10,7.2
84,8,954,8,6.9
85,8,955,12,7.5
86,8,961,8,8.5
87,8,962,8,8.5
88,8,960,8,7.3
89,8,1022,15,5.9
90,8,973,10,5.6
91,8,971,5,5.9
92,8,908,10,5.3
93,8,907,10,5.1
94,8,1009,20,6.6
95,8,998,10,5.5
96,8,810,20,6.1
97,8,804,10,7.0
98,8,913,17,4.0
99,8,822,10,3.7
100,8,978,6,4.4
101,8,989,20,5.9
102,8,185,26,5.2
103,8,996,20,6.4
104,8,990,20,5.8
105,8,991,10,6.5
106,8,862,10,5.6
107,8,940,20,6.0
108,8,427,25,4.1
109,9,932,20,5.3
110,9,945,20,5.8
111,9,866,10,5.4
112,9,935,10,5.1
113,9,913,20,4.0
114,9,978,20,4.4
115,9,954,15,6.9
116,9,822,20,3.7
117,9,856,20,4.9
118,9,998,10,5.5
119,9,874,10,5.6
120,9,980,10,4.8
121,9,710,10,4.2
122,9,709,10,4.2
123,9,169,11,4.4
124,9,716,11,4.2
125,9,713,10,4.2
126,9,1000,10,5.3
127,9,332,2,9.9
128,9,771,2,11.6
129,9,120,2,10.7
130,9,895,2,12.6
131,10,968,40,5.3
132,10,185,40,5.2
133,10,875,10,5.7
134,10,838,10,4.7
135,10,863,10,5.3
136,10,913,30,4.0
137,10,179,20,6.6
138,10,190,20,5.7
139,10,996,20,6.4
