product_id,product_name,color,model_description,fabric_description,category,gender,product_line,weight,size,pack_size,status,inventory_date,purchase_price
1,3-182,unknown,AT,182,Undershirts,Girls' Undershirts,Underwear,822,3,Dozen,In Production,,6.6
2,3-183,unknown,AT,183,Undershirts,Girls' Undershirts,Underwear,620,3,Dozen,Out of Production,,5.6
3,3-184,unknown,AT,184,Undershirts,Girls' Undershirts,Underwear,718,3,Dozen,In Production,,6.3
4,3-185,unknown,AT,185,Undershirts,Boys' Undershirts,Underwear,820,3,Dozen,In Production,,5.6
5,3-A30N,unknown,A,30,Briefs,Girls' Panties,Underwear,214,3,Dozen,Out of Production,,3.3
6,3-BX34,unknown,BX,34,Boxers,Boys' Briefs,Underwear,55,3,Single Unit,Out of Production,,0.62
7,3-BX64,unknown,BX,64,Boxers,Boys' Briefs,Underwear,55,3,Single Unit,Out of Production,,0.47
8,3-ERK33,unknown,ERK,33,Briefs,Boys' Briefs,Underwear,389,3,Dozen,Out of Production,,3.25
9,3-ERK61,unknown,ERK,61,Briefs,Boys' Briefs,Underwear,325,3,Dozen,In Production,,2.7
10,3-ERK63,unknown,ERK,63,Briefs,Boys' Briefs,Underwear,340,3,Dozen,In Production,,2.55
11,3-GB31,unknown,GB,31,Briefs,Girls' Panties,Underwear,370,3,Dozen,Out of Production,,2.65
12,3-GB31E,unknown,GB,31,Briefs,Girls' Panties,Underwear,345,3,Dozen,Out of Production,,2.75
13,3-GB32,unknown,GB,32,Briefs,Girls' Panties,Underwear,330,3,Dozen,Out of Production,,2.65
14,3-GB32E,unknown,GB,32,Briefs,Girls' Panties,Underwear,359,3,Dozen,Out of Production,,2.75
15,3-GB92,unknown,GB,92,Briefs,Girls' Panties,Underwear,294,3,Dozen,Out of Production,,2.15
16,3-K203,unknown,K,203,Briefs,Girls' Panties,Underwear,280,3,Dozen,Out of Production,,2.7
17,3-K21,unknown,K,21,Briefs,Girls' Panties,Underwear,281,3,Dozen,In Production,,2.7
18,3-K213,unknown,K,213,Briefs,Girls' Panties,Underwear,269,3,Dozen,Out of Production,,2.65
19,3-K218,unknown,K,218,Briefs,Girls' Panties,Underwear,280,3,Dozen,Out of Production,,2.75
20,3-K21E,unknown,K,21,Briefs,Girls' Panties,Underwear,276,3,Dozen,In Production,,2.8
21,3-K22,unknown,K,22,Briefs,Girls' Panties,Underwear,381,3,Dozen,Out of Production,,2.0
22,3-K22E,unknown,K,22,Briefs,Girls' Panties,Underwear,281,3,Dozen,Out of Production,,2.1
23,3-K23,unknown,K,23,Briefs,Girls' Panties,Underwear,242,3,Dozen,In Production,,2.5
24,3-K23E,unknown,K,23,Briefs,Girls' Panties,Underwear,271,3,Dozen,In Production,,2.6
25,3-K24E,unknown,K,24,Briefs,Girls' Panties,Underwear,330,3,Dozen,In Production,,2.7
26,3-K26,unknown,K,26,Briefs,Girls' Panties,Underwear,329,3,Dozen,Out of Production,,2.0
27,3-K29,unknown,K,29,Briefs,Girls' Panties,Underwear,273,3,Dozen,In Production,,2.4
28,3-K30,unknown,K,30,Briefs,Girls' Panties,Underwear,275,3,Dozen,In Production,,2.6
29,3-K30B,unknown,K,30,Briefs,Girls' Panties,Underwear,282,3,Dozen,Out of Production,,2.7
30,3-K30C,unknown,K,30,Briefs,Girls' Panties,Underwear,282,3,Dozen,Out of Production,,3.0
31,3-K30N,unknown,K,30,Briefs,Girls' Panties,Underwear,282,3,Dozen,In Production,,3.2
32,3-K31,unknown,K,31,Briefs,Girls' Panties,Underwear,220,3,Dozen,Out of Production,,2.4
33,3-K31E,unknown,K,31,Briefs,Girls' Panties,Underwear,305,3,Dozen,In Production,,2.7
34,3-K32,unknown,K,32,Briefs,Girls' Panties,Underwear,266,3,Dozen,In Production,,2.5
35,3-K32E,unknown,K,32,Briefs,Girls' Panties,Underwear,290,3,Dozen,In Production,,2.6
36,3-K92,unknown,K,92,Briefs,Girls' Panties,Underwear,310,3,Dozen,Out of Production,,1.8
37,3-K93,unknown,K,93,Briefs,Girls' Panties,Underwear,275,3,Dozen,Out of Production,,1.8
38,3-K94,unknown,K,94,Briefs,Girls' Panties,Underwear,280,3,Dozen,Out of Production,,1.8
39,3-K98,unknown,K,98,Briefs,Girls' Panties,Underwear,225,3,Dozen,Out of Production,,1.8
40,3-K98E,unknown,K,98,Briefs,Girls' Panties,Underwear,201,3,Dozen,Out of Production,,2.2
41,3-O23,unknown,O,23,Briefs,Girls' Panties,Underwear,233,3,Dozen,Out of Production,,2.05
42,3-O23E,unknown,O,23,Briefs,Girls' Panties,Underwear,226,3,Dozen,Out of Production,,2.25
43,3-U23,unknown,U,23,Briefs,Girls' Panties,Underwear,228,3,Dozen,Out of Production,,2.2
44,3-U29,unknown,U,29,Briefs,Girls' Panties,Underwear,257,3,Dozen,In Production,,2.47
45,1-166,unknown,AT,166,Undershirts,Girls' Undershirts,Underwear,491,1,Dozen,Out of Production,,5.7
46,1-167,unknown,AT,167,Undershirts,Girls' Undershirts,Underwear,455,1,Dozen,Out of Production,,4.2
47,1-170,unknown,AT,170,Undershirts,Boys' Undershirts,Underwear,530,1,Dozen,In Production,,3.8
48,1-183,unknown,AT,183,Undershirts,Girls' Undershirts,Underwear,482,1,Dozen,Out of Production,,4.8
49,1-185,unknown,AT,185,Undershirts,Boys' Undershirts,Underwear,551,1,Dozen,In Production,,4.8
50,1-A30N,unknown,A,30,Briefs,Girls' Panties,Underwear,177,1,Dozen,Out of Production,,2.9
51,1-ERK33,unknown,ERK,33,Briefs,Boys' Briefs,Underwear,262,1,Dozen,Out of Production,,2.75
52,1-ERK61,unknown,ERK,61,Briefs,Boys' Briefs,Underwear,280,1,Dozen,In Production,,2.3
53,1-ERK63,unknown,ERK,63,Briefs,Boys' Briefs,Underwear,293,1,Dozen,In Production,,2.25
54,1-ERK64,unknown,ERK,64,Briefs,Boys' Briefs,Underwear,291,1,Dozen,Out of Production,,2.6
55,1-ERK81,unknown,ERK,81,Briefs,Boys' Briefs,Underwear,280,1,Dozen,Out of Production,,2.2
56,1-K29,unknown,K,29,Briefs,Girls' Panties,Underwear,219,1,Dozen,In Production,,2.0
57,1-K30,unknown,K,30,Briefs,Girls' Panties,Underwear,202,1,Dozen,In Production,,2.2
58,1-K30B,unknown,K,30,Briefs,Girls' Panties,Underwear,212,1,Dozen,Out of Production,,2.4
59,1-K30C,unknown,K,30,Briefs,Girls' Panties,Underwear,211,1,Dozen,Out of Production,,2.7
60,1-K30N,unknown,K,30,Briefs,Girls' Panties,Underwear,218,1,Dozen,In Production,,2.8
61,1-K32,unknown,K,32,Briefs,Girls' Panties,Underwear,252,1,Dozen,In Production,,2.1
62,1-K32E,unknown,K,32,Briefs,Girls' Panties,Underwear,221,1,Dozen,In Production,,2.2
63,1-K98E,unknown,K,98,Briefs,Girls' Panties,Underwear,219,1,Dozen,Out of Production,,1.95
64,2-167,unknown,AT,167,Undershirts,Girls' Undershirts,Underwear,482,2,Dozen,Out of Production,,4.5
65,2-183,unknown,AT,183,Undershirts,Girls' Undershirts,Underwear,553,2,Dozen,Out of Production,,5.2
66,2-184,unknown,AT,184,Undershirts,Girls' Undershirts,Underwear,566,2,Dozen,In Production,,5.7
67,2-185,unknown,AT,185,Undershirts,Boys' Undershirts,Underwear,590,2,Dozen,In Production,,5.4
68,2-BX34,unknown,BX,34,Boxers,Boys' Briefs,Underwear,51,2,Single Unit,Out of Production,,0.57
69,2-BX64,unknown,BX,64,Boxers,Boys' Briefs,Underwear,47,2,Single Unit,Out of Production,,0.44
